antiguedad,num_dt,incidencia,financiacion,descuentos,conexion,TV,target
2008,,,,,FIBRA,tv-futbol,0.0
2010,,,SI,,ADSL,tv-futbol,0.0
2002,,,,,FIBRA,tv-futbol,0.0
2009,,,,,FIBRA,tv-futbol,0.0
2007,,,,,ADSL,tv-familiar,0.0
2008,,,,,FIBRA,tv-futbol,0.0
2003,,,SI,,FIBRA,tv-familiar,0.0
1995,4.0,,,,ADSL,tv-futbol,1.0
2006,,,,,FIBRA,tv-futbol,0.0
2019,,,,,FIBRA,tv-familiar,0.0
2006,,,SI,,FIBRA,tv-familiar,0.0
1996,,,,,ADSL,tv-futbol,0.0
2018,,,SI,,ADSL,tv-futbol,0.0
2015,,,,,FIBRA,tv-total,0.0
2001,,,,,ADSL,tv-familiar,0.0
2003,,,,,FIBRA,tv-futbol,0.0
2012,,,,SI,FIBRA,tv-familiar,0.0
2016,,,,,ADSL,tv-futbol,0.0
2018,,,,,FIBRA,tv-familiar,0.0
2017,3.0,,,,FIBRA,tv-futbol,1.0
2017,,,,,ADSL,tv-familiar,0.0
2016,,,,,FIBRA,tv-futbol,0.0
2001,,,,,FIBRA,tv-familiar,0.0
2014,,,,,FIBRA,tv-familiar,0.0
2011,,,,,ADSL,tv-familiar,0.0
2000,,,,,ADSL,tv-futbol,0.0
1999,,,,,FIBRA,tv-futbol,0.0
2011,,,,,FIBRA,tv-total,0.0
2002,,,,,FIBRA,tv-futbol,0.0
2010,,,,,ADSL,tv-familiar,0.0
2009,,,SI,,FIBRA,tv-futbol,0.0
2006,1.0,SI,,SI,FIBRA,tv-total,0.0
2007,,,,,FIBRA,tv-familiar,0.0
2013,,,,,ADSL,tv-familiar,0.0
1997,,,,,ADSL,tv-futbol,0.0
2011,,,,,FIBRA,tv-futbol,0.0
2000,,,,,ADSL,tv-futbol,0.0
1996,,,,,FIBRA,tv-futbol,0.0
2007,,,SI,,FIBRA,tv-familiar,0.0
2013,,,SI,,FIBRA,tv-futbol,0.0
2018,,,,,ADSL,tv-familiar,0.0
2017,,,,SI,FIBRA,tv-futbol,0.0
2007,,,SI,SI,ADSL,tv-total,0.0
2019,,,,,FIBRA,tv-futbol,0.0
2008,,,,,FIBRA,tv-familiar,0.0
2018,,,,,FIBRA,tv-familiar,0.0
1998,,SI,SI,,FIBRA,tv-futbol,0.0
1995,2.0,,,,FIBRA,tv-total,0.0
2018,,,,,FIBRA,tv-familiar,0.0
1997,,,,,FIBRA,tv-familiar,0.0
2006,,,,,ADSL,tv-futbol,0.0
1996,,,,,FIBRA,tv-total,0.0
2000,4.0,,,,ADSL,tv-futbol,1.0
2008,,,,,ADSL,tv-familiar,0.0
2017,,,,,ADSL,tv-futbol,0.0
2000,,,,SI,FIBRA,tv-familiar,0.0
2018,1.0,,,,FIBRA,tv-familiar,1.0
2004,,,,,FIBRA,tv-futbol,0.0
2004,,,,,FIBRA,tv-familiar,0.0
1999,,,,SI,ADSL,tv-familiar,0.0
1999,,,,,FIBRA,tv-total,0.0
1995,,,,,ADSL,tv-futbol,0.0
2008,,,,,ADSL,tv-futbol,0.0
2003,,,,,ADSL,tv-familiar,0.0
2006,,,,,ADSL,tv-total,0.0
2003,,SI,,,ADSL,tv-futbol,1.0
2019,,,,,ADSL,tv-familiar,0.0
2009,,,,,ADSL,tv-familiar,0.0
2012,2.0,,,,ADSL,tv-futbol,1.0
2007,,,,,FIBRA,tv-futbol,0.0
1996,,,,,ADSL,tv-total,0.0
2000,,,,,ADSL,tv-futbol,0.0
2001,,,,SI,ADSL,tv-familiar,0.0
2013,,SI,,SI,FIBRA,tv-futbol,0.0
2012,,,,,FIBRA,tv-futbol,0.0
2007,,,,,ADSL,tv-futbol,0.0
2018,,SI,,,FIBRA,tv-familiar,1.0
2011,,,,,ADSL,tv-futbol,0.0
1999,,,,,ADSL,tv-futbol,0.0
2012,,,,,FIBRA,tv-familiar,0.0
1999,,SI,,SI,ADSL,tv-futbol,0.0
2014,,,,,ADSL,tv-futbol,0.0
2009,,,,SI,FIBRA,tv-futbol,0.0
1998,,,,,ADSL,tv-futbol,0.0
2015,,,,,ADSL,tv-futbol,0.0
2019,,,,,ADSL,tv-total,0.0
2019,,,,SI,ADSL,tv-familiar,0.0
2000,,,SI,,ADSL,tv-futbol,0.0
2014,,,SI,SI,ADSL,tv-familiar,0.0
2008,,,,,FIBRA,tv-futbol,0.0
1997,,,,,ADSL,tv-familiar,0.0
2004,,,,,ADSL,tv-futbol,0.0
1998,2.0,,,,ADSL,tv-familiar,0.0
2000,,,,,FIBRA,tv-futbol,0.0
2016,4.0,,,,FIBRA,tv-futbol,1.0
2001,,,,,FIBRA,tv-futbol,0.0
2005,,,,,ADSL,tv-futbol,0.0
2001,,,,,FIBRA,tv-futbol,0.0
2017,,,,,ADSL,tv-familiar,0.0
2009,,,,,FIBRA,tv-total,0.0
2008,,,,,FIBRA,tv-futbol,0.0
2018,,,,,FIBRA,tv-futbol,0.0
1998,,,,SI,FIBRA,tv-familiar,0.0
1997,,,,,FIBRA,tv-familiar,0.0
2006,,,,,FIBRA,tv-familiar,0.0
2004,,,,,ADSL,tv-total,0.0
2018,,,,,FIBRA,tv-familiar,0.0
1995,,,SI,,FIBRA,tv-futbol,0.0
2006,,,,SI,ADSL,tv-futbol,0.0
2003,,,,,FIBRA,tv-futbol,0.0
2015,,,,,ADSL,tv-familiar,0.0
2017,,,,SI,ADSL,tv-familiar,0.0
2003,,,,,FIBRA,tv-futbol,0.0
2018,,,SI,,FIBRA,tv-futbol,0.0
2012,,,,SI,ADSL,tv-total,0.0
2001,,,,,FIBRA,tv-familiar,0.0
2011,,,,,FIBRA,tv-familiar,0.0
2019,,,,SI,ADSL,tv-familiar,0.0
1998,,,,,FIBRA,tv-total,0.0
2004,,,,,ADSL,tv-futbol,0.0
1999,,,,,ADSL,tv-familiar,0.0
2002,,,,SI,ADSL,tv-futbol,0.0
2000,,,,SI,ADSL,tv-futbol,0.0
2006,,,,,FIBRA,tv-futbol,0.0
2013,,,SI,,FIBRA,tv-futbol,0.0
2017,,,,,ADSL,tv-futbol,0.0
2003,1.0,,,,ADSL,tv-futbol,1.0
2019,,,,,FIBRA,tv-familiar,0.0
1996,,,,,FIBRA,tv-futbol,0.0
2006,,,,,FIBRA,tv-familiar,0.0
2009,,,,,ADSL,tv-familiar,0.0
2019,,,,,FIBRA,tv-futbol,0.0
2018,3.0,SI,,,FIBRA,tv-familiar,1.0
2006,,,,,ADSL,tv-familiar,0.0
2014,,,,,FIBRA,tv-total,0.0
2010,,,,,FIBRA,tv-futbol,0.0
1996,,,,,FIBRA,tv-futbol,0.0
2019,,,,,ADSL,tv-futbol,0.0
2009,,,,,FIBRA,tv-familiar,0.0
2005,,,,SI,FIBRA,tv-futbol,0.0
2003,,,,SI,ADSL,tv-familiar,0.0
2009,3.0,,,,FIBRA,tv-futbol,0.0
2004,,,,,ADSL,tv-familiar,0.0
2002,,,,,ADSL,tv-total,0.0
2010,,SI,,,FIBRA,tv-futbol,0.0
1995,,,SI,,FIBRA,tv-total,0.0
2011,,,,,ADSL,tv-futbol,0.0
2008,,,,,FIBRA,tv-futbol,0.0
2018,,,,,ADSL,tv-futbol,0.0
2000,,,,,FIBRA,tv-futbol,0.0
2013,,,,,FIBRA,tv-total,0.0
2006,,,,,ADSL,tv-familiar,0.0
2001,,,,,FIBRA,tv-familiar,0.0
2014,,,,,FIBRA,tv-familiar,0.0
2017,,,,,FIBRA,tv-familiar,0.0
2003,,,,,ADSL,tv-futbol,0.0
2015,,,,,FIBRA,tv-familiar,0.0
2015,,,,,ADSL,tv-total,0.0
1999,,,,,ADSL,tv-familiar,0.0
2015,,,,,FIBRA,tv-futbol,0.0
2010,,,,,ADSL,tv-familiar,0.0
2018,,,,SI,ADSL,tv-familiar,0.0
2003,,,,,FIBRA,tv-futbol,0.0
2004,,,,,FIBRA,tv-familiar,0.0
2000,,,,,FIBRA,tv-futbol,0.0
2004,,,,,FIBRA,tv-futbol,0.0
1998,,,,,FIBRA,tv-futbol,0.0
2003,,,,,ADSL,tv-futbol,0.0
2007,,,,,FIBRA,tv-familiar,0.0
2001,,,,,ADSL,tv-futbol,0.0
1996,,,,SI,FIBRA,tv-futbol,0.0
2003,,,,SI,ADSL,tv-futbol,0.0
1999,,,SI,,FIBRA,tv-futbol,0.0
2013,,,,,ADSL,tv-futbol,0.0
2018,,,,SI,ADSL,tv-familiar,0.0
2011,,,,,ADSL,tv-total,0.0
1999,,,,,ADSL,tv-futbol,0.0
1996,,,,,ADSL,tv-futbol,0.0
2010,,,,,ADSL,tv-futbol,0.0
1998,,SI,,,FIBRA,tv-futbol,0.0
2008,,,,,FIBRA,tv-total,0.0
2014,,SI,,,FIBRA,tv-futbol,0.0
1999,,,,,FIBRA,tv-futbol,0.0
1997,,,,SI,FIBRA,tv-futbol,0.0
1999,,,,,ADSL,tv-total,0.0
2010,,,,,FIBRA,tv-total,0.0
2015,,,,,FIBRA,tv-futbol,0.0
2004,,,,,ADSL,tv-familiar,0.0
2012,,,,,FIBRA,tv-familiar,0.0
1999,,,SI,,ADSL,tv-familiar,0.0
1995,,,,,ADSL,tv-futbol,0.0
2009,,,,,ADSL,tv-total,0.0
2016,,,,,ADSL,tv-familiar,0.0
2007,,,,,FIBRA,tv-familiar,0.0
1997,,,,SI,FIBRA,tv-familiar,0.0
2010,,,,,ADSL,tv-familiar,0.0
2001,,,,,ADSL,tv-futbol,0.0
2001,,,,,ADSL,tv-futbol,0.0
2010,,,,,FIBRA,tv-familiar,0.0
2010,,,,,ADSL,tv-futbol,0.0
2002,,,,SI,ADSL,tv-futbol,0.0
2019,,,SI,,ADSL,tv-familiar,0.0
2015,,,,,FIBRA,tv-futbol,0.0
2015,,,,,FIBRA,tv-futbol,0.0
2003,,,,,ADSL,tv-futbol,0.0
1997,,,,,FIBRA,tv-familiar,0.0
2012,,,,,ADSL,tv-futbol,0.0
2014,,,,SI,ADSL,tv-total,0.0
2003,,,,,ADSL,tv-futbol,0.0
2003,,,,,FIBRA,tv-futbol,0.0
2012,,,,,FIBRA,tv-futbol,0.0
2002,,SI,,,ADSL,tv-familiar,1.0
1998,,,SI,,ADSL,tv-familiar,0.0
2018,,,,,ADSL,tv-total,0.0
2005,,,,,FIBRA,tv-futbol,0.0
2014,,,,,ADSL,tv-familiar,0.0
2009,,SI,,SI,FIBRA,tv-familiar,0.0
2009,,,,,ADSL,tv-futbol,0.0
1995,,,,,FIBRA,tv-futbol,0.0
2016,,,SI,,ADSL,tv-futbol,0.0
1997,,,,,FIBRA,tv-total,0.0
2014,,,,,FIBRA,tv-familiar,0.0
2007,,,,,ADSL,tv-futbol,0.0
2017,,,,,ADSL,tv-total,0.0
1996,,,,,ADSL,tv-futbol,0.0
1996,,,,SI,FIBRA,tv-futbol,0.0
2011,,,,,ADSL,tv-futbol,0.0
2016,,,,SI,FIBRA,tv-futbol,0.0
2019,,,,,ADSL,tv-futbol,0.0
2003,,,,,ADSL,tv-futbol,0.0
2018,3.0,,,,FIBRA,tv-futbol,1.0
2004,,,,,FIBRA,tv-futbol,0.0
2000,1.0,,,SI,FIBRA,tv-total,0.0
2013,,,,,FIBRA,tv-futbol,0.0
2012,,,,,FIBRA,tv-familiar,0.0
1999,,,,,FIBRA,tv-futbol,0.0
2011,,,,,FIBRA,tv-futbol,0.0
2000,,,,,ADSL,tv-futbol,0.0
2004,,,,,FIBRA,tv-familiar,0.0
1998,,,SI,,FIBRA,tv-futbol,0.0
2012,,,,,FIBRA,tv-familiar,0.0
2007,1.0,,,,FIBRA,tv-familiar,1.0
2018,,,,,ADSL,tv-futbol,0.0
1996,,,,,ADSL,tv-familiar,0.0
2014,,,,,ADSL,tv-familiar,0.0
2016,,,SI,SI,FIBRA,tv-familiar,0.0
1995,,,,,FIBRA,tv-futbol,0.0
2014,,,,,ADSL,tv-futbol,0.0
2014,2.0,,,,ADSL,tv-familiar,1.0
2011,,,,SI,ADSL,tv-familiar,0.0
2000,,,,SI,FIBRA,tv-familiar,0.0
1996,,,,,ADSL,tv-total,0.0
2007,,,,,ADSL,tv-futbol,0.0
2018,,,,,ADSL,tv-futbol,0.0
2003,,,SI,,ADSL,tv-familiar,0.0
2015,,,,,FIBRA,tv-futbol,0.0
2002,,,,,ADSL,tv-futbol,0.0
2014,3.0,,,SI,FIBRA,tv-familiar,0.0
1999,,,,,FIBRA,tv-futbol,0.0
1998,,,,,FIBRA,tv-futbol,0.0
2017,,,,,FIBRA,tv-futbol,0.0
2001,,,,,FIBRA,tv-familiar,0.0
2003,,,,,ADSL,tv-familiar,0.0
2010,3.0,,,,ADSL,tv-futbol,1.0
1997,,,,,ADSL,tv-futbol,0.0
1995,,,,,ADSL,tv-familiar,0.0
2013,,,,,FIBRA,tv-futbol,0.0
2000,,,,,ADSL,tv-familiar,0.0
2013,,,,,ADSL,tv-familiar,0.0
2000,,,,,ADSL,tv-futbol,0.0
2009,,,,SI,ADSL,tv-familiar,0.0
2003,,,,,FIBRA,tv-familiar,0.0
1996,,,,,ADSL,tv-familiar,0.0
2012,,,,,FIBRA,tv-futbol,0.0
1997,,,,,ADSL,tv-familiar,0.0
2001,4.0,,,SI,FIBRA,tv-futbol,0.0
2015,1.0,,,,ADSL,tv-futbol,1.0
1995,,,,,ADSL,tv-total,0.0
1996,,,,,ADSL,tv-familiar,0.0
2002,,,,,FIBRA,tv-futbol,0.0
1997,,,,,FIBRA,tv-futbol,0.0
2005,,,SI,,ADSL,tv-futbol,0.0
2013,,SI,,,FIBRA,tv-futbol,1.0
2012,,,,,FIBRA,tv-futbol,0.0
2005,,,,,FIBRA,tv-futbol,0.0
2018,,,,SI,ADSL,tv-futbol,0.0
2007,,,,,FIBRA,tv-familiar,0.0
2009,,,,SI,FIBRA,tv-familiar,0.0
2012,2.0,,,,FIBRA,tv-futbol,1.0
2017,,,,,FIBRA,tv-familiar,0.0
2007,1.0,,,,FIBRA,tv-familiar,0.0
2015,,,,,FIBRA,tv-futbol,0.0
2012,,,,,FIBRA,tv-futbol,0.0
1999,,,,,ADSL,tv-familiar,0.0
2016,,,,SI,FIBRA,tv-futbol,0.0
2017,,,,SI,ADSL,tv-futbol,0.0
1998,,,,,ADSL,tv-familiar,0.0
1998,,,,,FIBRA,tv-familiar,0.0
2003,,,,,FIBRA,tv-futbol,0.0
2000,,,,,FIBRA,tv-familiar,0.0
2008,,,,,ADSL,tv-futbol,0.0
2007,2.0,,,SI,ADSL,tv-futbol,0.0
2008,,,,SI,FIBRA,tv-futbol,0.0
2006,,SI,,SI,FIBRA,tv-familiar,0.0
2000,,,,,FIBRA,tv-total,0.0
2011,,,,SI,ADSL,tv-familiar,0.0
2008,,,,,FIBRA,tv-futbol,0.0
2014,,SI,SI,,FIBRA,tv-familiar,0.0
2008,,,,,ADSL,tv-futbol,0.0
2006,,,,,ADSL,tv-futbol,0.0
2019,,,SI,SI,FIBRA,tv-total,0.0
2008,,,SI,,ADSL,tv-futbol,0.0
1997,,,,,FIBRA,tv-familiar,0.0
2007,,,SI,,FIBRA,tv-familiar,0.0
2011,,,,,FIBRA,tv-futbol,0.0
2011,,,,,ADSL,tv-familiar,0.0
2011,2.0,,,,ADSL,tv-futbol,1.0
2008,,,,SI,ADSL,tv-futbol,0.0
2016,,,SI,,FIBRA,tv-total,0.0
2013,,,,,ADSL,tv-total,0.0
2014,,,,,FIBRA,tv-futbol,0.0
2012,,,,,ADSL,tv-total,0.0
1998,,,,,FIBRA,tv-familiar,0.0
2018,,,,SI,ADSL,tv-familiar,0.0
2011,,,,,FIBRA,tv-familiar,0.0
2017,,,,,ADSL,tv-futbol,0.0
2013,,,,,FIBRA,tv-familiar,0.0
2002,,,,,ADSL,tv-futbol,0.0
2001,,,SI,SI,ADSL,tv-familiar,0.0
1996,,,SI,,ADSL,tv-familiar,0.0
2013,,,,,ADSL,tv-familiar,0.0
2006,,,,,FIBRA,tv-futbol,0.0
2001,,,,,FIBRA,tv-futbol,0.0
2009,,,,,ADSL,tv-total,0.0
1999,,,,,FIBRA,tv-futbol,0.0
2017,,,,,ADSL,tv-familiar,0.0
2019,,SI,,,ADSL,tv-familiar,1.0
2009,,,,SI,ADSL,tv-futbol,0.0
1995,,,,,ADSL,tv-futbol,0.0
2006,,,,,ADSL,tv-futbol,0.0
2014,,,,SI,FIBRA,tv-total,0.0
2011,,,,SI,FIBRA,tv-futbol,0.0
1999,,,,SI,ADSL,tv-total,0.0
2016,,,,,ADSL,tv-futbol,0.0
1999,,,,,ADSL,tv-futbol,0.0
2007,,,,,ADSL,tv-futbol,0.0
2007,,,,,FIBRA,tv-total,0.0
2017,,,,,ADSL,tv-familiar,0.0
2019,,,,,ADSL,tv-futbol,0.0
1995,,,,,FIBRA,tv-futbol,0.0
2011,,,,SI,FIBRA,tv-total,0.0
2008,,,,,FIBRA,tv-familiar,0.0
2007,,,,,FIBRA,tv-futbol,0.0
1999,,,,,FIBRA,tv-futbol,0.0
2006,4.0,SI,,,FIBRA,tv-futbol,1.0
2014,,SI,,,FIBRA,tv-futbol,1.0
2004,,,,,FIBRA,tv-total,0.0
2013,,,,,FIBRA,tv-futbol,0.0
2018,,,,,FIBRA,tv-familiar,0.0
2010,,,,,ADSL,tv-futbol,0.0
2009,,,,,FIBRA,tv-futbol,0.0
2013,3.0,,,,FIBRA,tv-futbol,1.0
2001,,,,,FIBRA,tv-futbol,0.0
2008,,,,,ADSL,tv-familiar,0.0
2002,,,,,FIBRA,tv-total,0.0
2011,,,,,FIBRA,tv-total,0.0
1996,,,,,ADSL,tv-futbol,0.0
2012,4.0,,,,FIBRA,tv-familiar,1.0
2013,,,,,FIBRA,tv-total,0.0
2019,,,,,FIBRA,tv-futbol,0.0
2017,,,,SI,ADSL,tv-futbol,0.0
2007,,,,,FIBRA,tv-familiar,0.0
1996,,,,,ADSL,tv-futbol,0.0
2011,,,SI,SI,ADSL,tv-futbol,0.0
2017,,,,,FIBRA,tv-total,0.0
1995,,,,,FIBRA,tv-futbol,0.0
2019,,,,,ADSL,tv-futbol,0.0
1995,,,,,ADSL,tv-familiar,0.0
1997,,SI,,,ADSL,tv-familiar,1.0
2005,,,,,ADSL,tv-futbol,0.0
2005,,,,SI,ADSL,tv-familiar,0.0
1997,,,,,FIBRA,tv-futbol,0.0
2013,,,,,FIBRA,tv-familiar,0.0
1998,,,,,ADSL,tv-total,0.0
2012,,,,,FIBRA,tv-familiar,0.0
2013,,,,,ADSL,tv-total,0.0
2016,,,,,ADSL,tv-total,0.0
2012,,,,,FIBRA,tv-futbol,0.0
2005,,,,,ADSL,tv-futbol,0.0
2004,,,,,ADSL,tv-familiar,0.0
2011,,,,SI,ADSL,tv-familiar,0.0
2017,,,,SI,ADSL,tv-familiar,0.0
2010,,,,,ADSL,tv-futbol,0.0
1995,,,,,FIBRA,tv-familiar,0.0
2006,,,,,FIBRA,tv-familiar,0.0
2017,,,,,ADSL,tv-familiar,0.0
1997,,,,,FIBRA,tv-familiar,0.0
2009,,,SI,,ADSL,tv-futbol,0.0
2016,,,,,FIBRA,tv-familiar,0.0
1996,,,,,ADSL,tv-futbol,0.0
1998,,,,,ADSL,tv-futbol,0.0
1998,,,,,ADSL,tv-futbol,0.0
2018,,,,,ADSL,tv-futbol,0.0
1995,,,,,ADSL,tv-futbol,0.0
2008,,,,,FIBRA,tv-familiar,0.0
2016,,,,,FIBRA,tv-familiar,0.0
2015,,,,SI,FIBRA,tv-familiar,0.0
2014,,,,SI,FIBRA,tv-total,0.0
2018,,,,,FIBRA,tv-futbol,0.0
1998,,,,,ADSL,tv-futbol,0.0
2002,,,,,ADSL,tv-familiar,0.0
1998,,,,SI,FIBRA,tv-futbol,0.0
2017,,,,,ADSL,tv-futbol,0.0
2004,,,,,ADSL,tv-futbol,0.0
2017,,,,,FIBRA,tv-familiar,0.0
1996,,,SI,SI,ADSL,tv-futbol,0.0
2013,,,,,ADSL,tv-futbol,0.0
2011,,,,,ADSL,tv-futbol,0.0
2011,,,,,ADSL,tv-futbol,0.0
2016,,,,,ADSL,tv-familiar,0.0
2006,,,,SI,ADSL,tv-futbol,0.0
2015,,,,,ADSL,tv-futbol,0.0
2016,1.0,,,,ADSL,tv-total,0.0
2019,,,,,FIBRA,tv-total,0.0
2000,,,,,ADSL,tv-total,0.0
2014,,,,,FIBRA,tv-futbol,0.0
2018,,,,,FIBRA,tv-familiar,0.0
2006,,,,,ADSL,tv-futbol,0.0
2010,,,,,ADSL,tv-familiar,0.0
2009,,,,,FIBRA,tv-total,0.0
2019,,,,,FIBRA,tv-familiar,0.0
2007,,,,,ADSL,tv-familiar,0.0
2015,,,,,ADSL,tv-familiar,0.0
2005,,,,,FIBRA,tv-futbol,0.0
1997,,,,,ADSL,tv-futbol,0.0
2010,,,,,FIBRA,tv-futbol,0.0
2001,,,,,ADSL,tv-familiar,0.0
2006,,,,,FIBRA,tv-futbol,0.0
2012,,,,,FIBRA,tv-familiar,0.0
2013,,,,SI,FIBRA,tv-futbol,0.0
2003,,,,,ADSL,tv-total,0.0
1999,,,,,ADSL,tv-total,0.0
1998,,,,,ADSL,tv-futbol,0.0
2007,,,,,ADSL,tv-total,0.0
2003,,,,,FIBRA,tv-futbol,0.0
2004,,,,,ADSL,tv-familiar,0.0
2009,,,,,ADSL,tv-familiar,0.0
2010,,,,,FIBRA,tv-futbol,0.0
1998,,,,SI,FIBRA,tv-futbol,0.0
2019,,,,SI,FIBRA,tv-futbol,0.0
2019,,,,,ADSL,tv-futbol,0.0
2000,,,,,ADSL,tv-familiar,0.0
2002,,,,,FIBRA,tv-futbol,0.0
2015,3.0,,,,ADSL,tv-futbol,0.0
2012,,,,SI,FIBRA,tv-futbol,0.0
2018,,,,,ADSL,tv-familiar,0.0
2005,,,,SI,ADSL,tv-futbol,0.0
1995,,,,,FIBRA,tv-futbol,0.0
2008,,,,,ADSL,tv-familiar,0.0
2001,,,,,ADSL,tv-familiar,0.0
2005,,,,,FIBRA,tv-total,0.0
2002,,,,,ADSL,tv-futbol,0.0
2007,,,,,FIBRA,tv-futbol,0.0
2008,,,,,ADSL,tv-familiar,0.0
2005,,,,,ADSL,tv-futbol,0.0
2019,,,SI,,FIBRA,tv-futbol,0.0
2005,,,,,ADSL,tv-familiar,0.0
2007,,,,,ADSL,tv-familiar,0.0
1998,,,,,ADSL,tv-total,0.0
2010,,,,SI,FIBRA,tv-familiar,0.0
2003,,,SI,,FIBRA,tv-futbol,0.0
2005,,,,,FIBRA,tv-familiar,1.0
2012,,,,,ADSL,tv-futbol,0.0
2007,,,,,ADSL,tv-familiar,0.0
1998,,,,,ADSL,tv-total,0.0
2001,,,,,FIBRA,tv-familiar,0.0
2019,,SI,,SI,FIBRA,tv-futbol,0.0
2011,,,,,FIBRA,tv-familiar,0.0
1997,,,,SI,ADSL,tv-futbol,0.0
2019,,,,,FIBRA,tv-futbol,0.0
2003,,,,,FIBRA,tv-total,0.0
2008,,,,,ADSL,tv-futbol,0.0
2018,,,,,ADSL,tv-futbol,0.0
2007,,,,SI,FIBRA,tv-total,0.0
2011,,,,,ADSL,tv-familiar,0.0
1997,,,,SI,ADSL,tv-futbol,0.0
2019,,,,,ADSL,tv-familiar,0.0
2005,,,,,FIBRA,tv-futbol,0.0
1995,4.0,,,,ADSL,tv-futbol,1.0
2015,,,,,FIBRA,tv-futbol,0.0
1995,,,,SI,ADSL,tv-futbol,0.0
1998,,,,,ADSL,tv-futbol,0.0
2014,,,,,FIBRA,tv-futbol,0.0
2015,,,,SI,ADSL,tv-futbol,0.0
2013,,,,,ADSL,tv-futbol,0.0
2003,,,,,FIBRA,tv-futbol,0.0
2003,,,SI,,FIBRA,tv-futbol,0.0
2010,,,,,ADSL,tv-futbol,0.0
2004,,,,,ADSL,tv-futbol,0.0
2003,4.0,,,,FIBRA,tv-futbol,1.0
1997,,,,,ADSL,tv-familiar,0.0
2004,,,,,ADSL,tv-total,0.0
2004,,,,,ADSL,tv-total,0.0
2001,,,,,FIBRA,tv-futbol,0.0
1998,2.0,,,,ADSL,tv-familiar,1.0
2011,,,,,ADSL,tv-futbol,0.0
2009,,,,,FIBRA,tv-futbol,0.0
2009,,,,,ADSL,tv-familiar,0.0
2013,,,,,ADSL,tv-futbol,0.0
2012,,,,,FIBRA,tv-familiar,0.0
1996,,,,,ADSL,tv-futbol,0.0
2016,,,,,FIBRA,tv-familiar,0.0
2007,,,,,ADSL,tv-familiar,0.0
2008,,,,,ADSL,tv-familiar,0.0
1995,,,,,FIBRA,tv-futbol,0.0
1999,,,,,ADSL,tv-total,0.0
2018,,,,,ADSL,tv-futbol,0.0
2008,,,,,FIBRA,tv-familiar,0.0
2012,,,,,ADSL,tv-futbol,0.0
2003,,,,SI,FIBRA,tv-futbol,0.0
1999,4.0,,,,ADSL,tv-futbol,0.0
1999,,,,,ADSL,tv-familiar,0.0
2000,,,,,FIBRA,tv-familiar,0.0
2018,,,,SI,FIBRA,tv-total,0.0
1997,,,,,ADSL,tv-futbol,0.0
2004,,,,,ADSL,tv-familiar,0.0
1998,,,,,FIBRA,tv-futbol,0.0
2005,,,,SI,ADSL,tv-familiar,0.0
2012,,,,,FIBRA,tv-total,0.0
2013,,,,SI,FIBRA,tv-futbol,0.0
2016,,,,SI,FIBRA,tv-futbol,0.0
2014,,,,,ADSL,tv-familiar,0.0
2018,,,,SI,FIBRA,tv-futbol,0.0
2017,,,,,ADSL,tv-futbol,0.0
2012,,,,,ADSL,tv-familiar,0.0
2005,,,,,FIBRA,tv-futbol,0.0
2012,,,SI,,FIBRA,tv-futbol,0.0
2014,,,,,ADSL,tv-futbol,0.0
2013,,,,,ADSL,tv-total,0.0
2010,,,,SI,ADSL,tv-futbol,0.0
2015,,,,,FIBRA,tv-futbol,0.0
2008,,,,,ADSL,tv-futbol,0.0
2004,,SI,,,FIBRA,tv-futbol,1.0
1997,,,,,ADSL,tv-familiar,0.0
1995,,,,,ADSL,tv-familiar,0.0
2014,,,,,ADSL,tv-familiar,0.0
2013,,,,,FIBRA,tv-total,0.0
1999,,,,,FIBRA,tv-futbol,0.0
2014,,,,,FIBRA,tv-futbol,0.0
2011,,,,SI,ADSL,tv-familiar,0.0
1998,,,,,FIBRA,tv-futbol,0.0
1999,,,,,ADSL,tv-total,0.0
2016,,,,,FIBRA,tv-futbol,0.0
1999,,SI,,SI,ADSL,tv-total,0.0
2014,,,,,FIBRA,tv-familiar,0.0
2013,,,,,FIBRA,tv-futbol,0.0
2009,,,,,ADSL,tv-familiar,0.0
2000,,,,,FIBRA,tv-familiar,0.0
1995,,,,,ADSL,tv-futbol,0.0
2014,,,,,FIBRA,tv-futbol,0.0
2007,3.0,,,SI,FIBRA,tv-familiar,0.0
1998,,,,SI,ADSL,tv-futbol,0.0
2008,,,,,FIBRA,tv-familiar,0.0
2016,,,,,FIBRA,tv-familiar,0.0
2004,,,SI,,ADSL,tv-familiar,0.0
2002,,,,,ADSL,tv-futbol,0.0
2014,,,,SI,ADSL,tv-futbol,0.0
2015,,,,,FIBRA,tv-total,0.0
2004,,,,,FIBRA,tv-familiar,0.0
2003,,,SI,,FIBRA,tv-futbol,0.0
1998,,,,,ADSL,tv-total,0.0
2008,,,,,ADSL,tv-futbol,0.0
1998,,,,,FIBRA,tv-futbol,0.0
2017,,,,,ADSL,tv-futbol,0.0
2015,,,,SI,FIBRA,tv-total,0.0
2013,,,,,ADSL,tv-futbol,0.0
2011,,,,SI,ADSL,tv-total,0.0
2012,,,,,FIBRA,tv-futbol,0.0
2016,,,,,FIBRA,tv-futbol,0.0
2011,,,,SI,ADSL,tv-futbol,0.0
2004,,,,,ADSL,tv-familiar,0.0
1999,,,,,ADSL,tv-futbol,0.0
2003,,,,,ADSL,tv-futbol,0.0
